                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4979,                 2.1107,                 1.4184,                0.52642,                0.46853,                0.46519,                0.31216,                 1.3919,                 1.3817,                 1.3273,             0.00036812,             0.00036812,             0.00036812
                      2,                 1.4235,                 1.4061,                  1.377,                0.42664,                0.55754,                0.45142,                0.27344,                 1.3309,                 1.2383,                  1.365,             0.00072383,             0.00072383,             0.00072383
                      3,                 1.4297,                 1.2611,                 1.3919,                0.53099,                0.52566,                0.40505,                0.24046,                 1.3867,                 1.1964,                 1.4455,              0.0010649,              0.0010649,              0.0010649
                      4,                 1.4292,                 1.1294,                 1.3933,                0.74229,                0.71006,                0.65259,                0.41569,                 1.3036,                 1.0393,                 1.3847,               0.001045,               0.001045,               0.001045
                      5,                 1.3948,                 1.0225,                  1.373,                0.85213,                 0.7395,                0.75929,                0.50383,                 1.3183,                0.86102,                 1.3278,               0.001045,               0.001045,               0.001045
                      6,                 1.3784,                 0.9797,                 1.3645,                0.52702,                0.56299,                0.67915,                0.44719,                 1.3443,                0.99585,                 1.4074,               0.001023,               0.001023,               0.001023
                      7,                 1.3598,                0.91735,                 1.3493,                0.76914,                 0.7014,                0.67716,                 0.4486,                 1.2821,                 0.8879,                 1.3789,               0.001001,               0.001001,               0.001001
                      8,                 1.3503,                0.88668,                 1.3414,                 0.5529,                0.95809,                0.75772,                0.48971,                 1.2799,                0.89668,                 1.3582,             0.00097901,             0.00097901,             0.00097901
                      9,                 1.3376,                0.86725,                 1.3438,                0.61531,                 0.9011,                0.84528,                0.55991,                  1.274,                0.80671,                 1.3645,             0.00095702,             0.00095702,             0.00095702
                     10,                 1.3322,                0.84805,                 1.3428,                0.74008,                0.91235,                0.96579,                0.62742,                 1.2543,                0.76648,                 1.3531,             0.00093502,             0.00093502,             0.00093502
                     11,                 1.3174,                0.82508,                 1.3229,                0.71727,                0.79221,                0.88343,                 0.5916,                 1.2878,                0.84431,                 1.3415,             0.00091302,             0.00091302,             0.00091302
                     12,                 1.3115,                0.81151,                 1.3152,                0.62716,                0.72997,                0.73617,                0.47973,                 1.2928,                0.75962,                 1.3668,             0.00089102,             0.00089102,             0.00089102
                     13,                 1.2988,                0.80357,                 1.3284,                0.75614,                0.91823,                0.92109,                0.61588,                  1.236,                 0.7371,                 1.3324,             0.00086902,             0.00086902,             0.00086902
                     14,                 1.2838,                0.78324,                 1.3018,                0.67947,                0.88066,                0.90758,                0.61452,                 1.2942,                0.75333,                 1.3423,             0.00084703,             0.00084703,             0.00084703
                     15,                 1.2869,                0.76999,                  1.303,                0.86491,                0.91181,                0.95393,                0.66161,                  1.276,                0.72156,                 1.3499,             0.00082503,             0.00082503,             0.00082503
                     16,                 1.2742,                0.75751,                 1.2994,                0.77998,                0.77984,                0.87134,                0.58207,                 1.2879,                0.70571,                 1.3535,             0.00080303,             0.00080303,             0.00080303
                     17,                 1.2546,                0.73622,                 1.2815,                0.77485,                0.92057,                0.93495,                0.63932,                 1.2609,                 0.7621,                  1.332,             0.00078103,             0.00078103,             0.00078103
                     18,                 1.2535,                0.73725,                 1.2872,                0.90367,                0.85207,                0.92172,                0.63258,                  1.257,                0.73858,                 1.3615,             0.00075904,             0.00075904,             0.00075904
                     19,                  1.251,                0.73337,                 1.2821,                0.87785,                0.74708,                0.96512,                0.64972,                 1.2395,                0.67764,                 1.3202,             0.00073704,             0.00073704,             0.00073704
                     20,                 1.2465,                0.72134,                 1.2826,                0.79217,                0.86547,                0.87907,                0.58962,                  1.276,                0.73855,                 1.4011,             0.00071504,             0.00071504,             0.00071504
                     21,                 1.2416,                0.71181,                 1.2796,                0.82842,                0.88311,                 0.9131,                0.68351,                 1.2322,                0.67221,                 1.3311,             0.00069304,             0.00069304,             0.00069304
                     22,                 1.2436,                0.70186,                 1.2695,                0.84875,                0.92481,                0.94533,                0.61222,                 1.3132,                0.70622,                 1.3952,             0.00067104,             0.00067104,             0.00067104
                     23,                  1.224,                0.69666,                 1.2663,                0.77747,                0.84583,                0.95428,                0.67431,                 1.2547,                 0.7075,                 1.3673,             0.00064905,             0.00064905,             0.00064905
                     24,                  1.216,                0.68626,                 1.2684,                 0.7663,                0.93363,                0.86136,                0.56294,                 1.2556,                  0.676,                   1.36,             0.00062705,             0.00062705,             0.00062705
                     25,                 1.2248,                0.67954,                 1.2711,                0.84314,                0.91709,                0.95845,                 0.6576,                 1.2599,                0.66485,                  1.379,             0.00060505,             0.00060505,             0.00060505
                     26,                 1.1964,                0.66307,                 1.2629,                0.80342,                0.90764,                0.96618,                0.65921,                 1.2471,                0.70951,                 1.3657,             0.00058305,             0.00058305,             0.00058305
                     27,                  1.192,                0.66227,                 1.2429,                0.81319,                0.87956,                0.93676,                0.62368,                  1.231,                0.71386,                  1.352,             0.00056105,             0.00056105,             0.00056105
                     28,                 1.1989,                 0.6702,                 1.2484,                0.61059,                0.89634,                0.89815,                0.62314,                 1.2752,                0.70043,                 1.4021,             0.00053906,             0.00053906,             0.00053906
                     29,                 1.1772,                0.65381,                 1.2486,                0.85617,                0.94049,                0.95372,                0.63627,                 1.2767,                0.69947,                 1.3568,             0.00051706,             0.00051706,             0.00051706
                     30,                 1.1736,                0.63795,                 1.2403,                0.88398,                0.87947,                  0.963,                0.68204,                 1.2166,                0.66575,                 1.3643,             0.00049506,             0.00049506,             0.00049506
                     31,                 1.1669,                0.63908,                 1.2383,                0.88555,                0.89377,                0.95425,                0.68159,                  1.243,                0.68615,                 1.3769,             0.00047306,             0.00047306,             0.00047306
                     32,                 1.1709,                0.64845,                 1.2424,                0.89103,                0.90217,                0.96591,                0.69883,                 1.2367,                0.70693,                  1.341,             0.00045107,             0.00045107,             0.00045107
                     33,                 1.1596,                0.62975,                 1.2342,                0.83325,                0.86486,                0.97145,                0.68337,                 1.2101,                0.68756,                 1.3409,             0.00042907,             0.00042907,             0.00042907
                     34,                 1.1608,                0.62513,                 1.2324,                0.82091,                 0.8862,                0.95026,                0.63902,                 1.2479,                0.67417,                 1.3734,             0.00040707,             0.00040707,             0.00040707
                     35,                 1.1454,                0.62337,                  1.233,                0.89625,                0.86591,                0.96669,                0.69266,                 1.2172,                0.63915,                 1.3533,             0.00038507,             0.00038507,             0.00038507
                     36,                 1.1483,                0.61365,                 1.2285,                0.90313,                0.83824,                 0.9351,                 0.6449,                 1.2365,                0.67293,                 1.3591,             0.00036307,             0.00036307,             0.00036307
                     37,                  1.138,                0.60594,                 1.2144,                0.85869,                0.84591,                0.94007,                0.64692,                 1.2387,                0.66514,                 1.3429,             0.00034108,             0.00034108,             0.00034108
                     38,                 1.1203,                0.60709,                 1.2108,                0.75909,                0.87272,                0.94039,                0.62955,                 1.2253,                0.69662,                 1.3579,             0.00031908,             0.00031908,             0.00031908
                     39,                  1.117,                0.59968,                 1.2099,                0.65489,                0.90347,                0.96708,                0.67539,                 1.2239,                0.66329,                 1.3613,             0.00029708,             0.00029708,             0.00029708
                     40,                 1.1188,                0.59327,                 1.2086,                0.72888,                0.88819,                 0.9639,                0.68717,                 1.2455,                0.65069,                 1.3609,             0.00027508,             0.00027508,             0.00027508
                     41,                 1.0902,                0.53873,                 1.2147,                0.91053,                0.89776,                0.96793,                0.68451,                  1.232,                0.65246,                  1.365,             0.00025309,             0.00025309,             0.00025309
                     42,                 1.0797,                0.52389,                 1.2064,                0.86819,                0.89717,                0.95311,                0.66848,                 1.2367,                0.65811,                 1.3708,             0.00023109,             0.00023109,             0.00023109
                     43,                 1.0691,                0.52124,                 1.2042,                0.88911,                0.89545,                0.96501,                0.67309,                 1.2389,                0.64561,                 1.3847,             0.00020909,             0.00020909,             0.00020909
                     44,                 1.0628,                0.51241,                 1.2098,                0.89668,                0.91537,                0.96866,                0.68641,                 1.2372,                0.64718,                 1.3786,             0.00018709,             0.00018709,             0.00018709
                     45,                 1.0562,                0.51121,                 1.2037,                  0.878,                0.90332,                0.96513,                0.67515,                 1.2566,                0.64572,                 1.4092,             0.00016509,             0.00016509,             0.00016509
                     46,                 1.0469,                 0.5015,                  1.199,                0.88099,                0.91066,                0.96877,                0.67272,                 1.2358,                0.61818,                 1.3751,              0.0001431,              0.0001431,              0.0001431
                     47,                 1.0348,                0.49538,                 1.1939,                0.89041,                0.88534,                0.97537,                0.68996,                 1.2299,                0.62967,                 1.3699,              0.0001211,              0.0001211,              0.0001211
                     48,                 1.0302,                0.49174,                 1.1884,                0.87685,                0.90585,                0.96808,                0.68687,                 1.2273,                0.64531,                 1.3784,             9.9101e-05,             9.9101e-05,             9.9101e-05
                     49,                 1.0276,                0.49199,                 1.1802,                0.89533,                 0.8942,                0.97301,                0.68118,                 1.2375,                0.63669,                 1.3877,             7.7103e-05,             7.7103e-05,             7.7103e-05
                     50,                 1.0218,                  0.489,                 1.1825,                0.88761,                0.92482,                0.97429,                0.69584,                  1.231,                0.62513,                 1.3778,             5.5106e-05,             5.5106e-05,             5.5106e-05
